dataset_id,protocol_id,n_sub,replicate_id,classifier_id,fold_id,auc
toy,cv5,100,1,c1,1,0.81
toy,cv5,100,1,c1,2,0.78
toy,cv5,100,1,c1,3,0.84
toy,cv5,100,1,c1,4,0.8
toy,cv5,100,1,c1,5,0.82
toy,cv5,100,1,c2,1,0.86
toy,cv5,100,1,c2,2,0.83
toy,cv5,100,1,c2,3,0.8
toy,cv5,100,1,c2,4,0.85
toy,cv5,100,1,c2,5,0.81
toy,cv5,100,1,c3,1,0.74
toy,cv5,100,1,c3,2,0.77
toy,cv5,100,1,c3,3,0.72
toy,cv5,100,1,c3,4,0.79
toy,cv5,100,1,c3,5,0.75
toy,cv5,100,2,c1,1,0.8607
toy,cv5,100,2,c1,2,0.8136
toy,cv5,100,2,c1,3,0.8763
toy,cv5,100,2,c1,4,0.8829
toy,cv5,100,2,c1,5,0.7817
toy,cv5,100,2,c2,1,0.7744
toy,cv5,100,2,c2,2,0.8245
toy,cv5,100,2,c2,3,0.8089
toy,cv5,100,2,c2,4,0.8194
toy,cv5,100,2,c2,5,0.7901
toy,cv5,100,2,c3,1,0.7908
toy,cv5,100,2,c3,2,0.7872
toy,cv5,100,2,c3,3,0.7623
toy,cv5,100,2,c3,4,0.7995
toy,cv5,100,2,c3,5,0.7764
toy,cv5,100,3,c1,1,0.8199
toy,cv5,100,3,c1,2,0.8629
toy,cv5,100,3,c1,3,0.8164
toy,cv5,100,3,c1,4,0.8807
toy,cv5,100,3,c1,5,0.8483
toy,cv5,100,3,c2,1,0.8135
toy,cv5,100,3,c2,2,0.7962
toy,cv5,100,3,c2,3,0.8628
toy,cv5,100,3,c2,4,0.8146
toy,cv5,100,3,c2,5,0.805
toy,cv5,100,3,c3,1,0.7477
toy,cv5,100,3,c3,2,0.7786
toy,cv5,100,3,c3,3,0.7728
toy,cv5,100,3,c3,4,0.7744
toy,cv5,100,3,c3,5,0.7751
toy,cv5,100,4,c1,1,0.925
toy,cv5,100,4,c1,2,0.8358
toy,cv5,100,4,c1,3,0.8321
toy,cv5,100,4,c1,4,0.8215
toy,cv5,100,4,c1,5,0.8716
toy,cv5,100,4,c2,1,0.8595
toy,cv5,100,4,c2,2,0.816
toy,cv5,100,4,c2,3,0.7906
toy,cv5,100,4,c2,4,0.7911
toy,cv5,100,4,c2,5,0.8428
toy,cv5,100,4,c3,1,0.786
toy,cv5,100,4,c3,2,0.779
toy,cv5,100,4,c3,3,0.7367
toy,cv5,100,4,c3,4,0.7681
toy,cv5,100,4,c3,5,0.7641
toy,cv5,100,5,c1,1,0.8577
toy,cv5,100,5,c1,2,0.8805
toy,cv5,100,5,c1,3,0.8578
toy,cv5,100,5,c1,4,0.8738
toy,cv5,100,5,c1,5,0.8524
toy,cv5,100,5,c2,1,0.8301
toy,cv5,100,5,c2,2,0.8421
toy,cv5,100,5,c2,3,0.769
toy,cv5,100,5,c2,4,0.8088
toy,cv5,100,5,c2,5,0.8035
toy,cv5,100,5,c3,1,0.7376
toy,cv5,100,5,c3,2,0.7504
toy,cv5,100,5,c3,3,0.8123
toy,cv5,100,5,c3,4,0.7297
toy,cv5,100,5,c3,5,0.7939
toy,cv5,100,6,c1,1,0.7911
toy,cv5,100,6,c1,2,0.8383
toy,cv5,100,6,c1,3,0.8557
toy,cv5,100,6,c1,4,0.8705
toy,cv5,100,6,c1,5,0.8749
toy,cv5,100,6,c2,1,0.8478
toy,cv5,100,6,c2,2,0.8078
toy,cv5,100,6,c2,3,0.8038
toy,cv5,100,6,c2,4,0.85
toy,cv5,100,6,c2,5,0.8133
toy,cv5,100,6,c3,1,0.7154
toy,cv5,100,6,c3,2,0.7203
toy,cv5,100,6,c3,3,0.7278
toy,cv5,100,6,c3,4,0.7774
toy,cv5,100,6,c3,5,0.765
toy,cv5,100,7,c1,1,0.8742
toy,cv5,100,7,c1,2,0.835
toy,cv5,100,7,c1,3,0.8555
toy,cv5,100,7,c1,4,0.8719
toy,cv5,100,7,c1,5,0.8392
toy,cv5,100,7,c2,1,0.836
toy,cv5,100,7,c2,2,0.7968
toy,cv5,100,7,c2,3,0.8073
toy,cv5,100,7,c2,4,0.8066
toy,cv5,100,7,c2,5,0.7781
toy,cv5,100,7,c3,1,0.777
toy,cv5,100,7,c3,2,0.7436
toy,cv5,100,7,c3,3,0.7604
toy,cv5,100,7,c3,4,0.7768
toy,cv5,100,7,c3,5,0.7756
toy,cv5,100,8,c1,1,0.8733
toy,cv5,100,8,c1,2,0.8466
toy,cv5,100,8,c1,3,0.8352
toy,cv5,100,8,c1,4,0.8472
toy,cv5,100,8,c1,5,0.7909
toy,cv5,100,8,c2,1,0.7694
toy,cv5,100,8,c2,2,0.7737
toy,cv5,100,8,c2,3,0.7851
toy,cv5,100,8,c2,4,0.834
toy,cv5,100,8,c2,5,0.7883
toy,cv5,100,8,c3,1,0.7468
toy,cv5,100,8,c3,2,0.8055
toy,cv5,100,8,c3,3,0.7475
toy,cv5,100,8,c3,4,0.7858
toy,cv5,100,8,c3,5,0.7273
toy,cv5,100,9,c1,1,0.8428
toy,cv5,100,9,c1,2,0.8167
